Tier,Subnet ,Description,Category,Company,App,Validation from,Native token,Notes,netuid,Emission,Emission_Percentage,Current_Price,Price_Change_24h,Market_Cap,Symbol,Circulating_Supply,Clean_Price,Clean_Emission,Clean_Market_Cap,Subnet ID,Subnet Name
S Tier,SN11 : Dippy Roleplay,Roleplays LLMs,Model development,Dippy,Yes,Yuma,,,11,4056756.0,0.41%,0.0082609079477701,2.8573341511255372,7033494861080.041,λ,851419106174466,0.0082609079477701,0.41,2581292.6140163755,SN11,Dippy Roleplay
C tier,SN12 : Horde,Compute for bittensor validators,"Compute, Infrastructure",Horde,Yes,,,"Tier C because they have very little online presence, barely any documentation, and a use case that doesn’t really excite the general public.",12,4999359.0,0.50%,0.0143486333402494,71.98199926698884,12215477109530.977,μ,851333839249014,0.0143486333402494,0.5,4483080.099197868,SN12,Horde
S Tier,SN13 : Data Universe ,Data scraping & storage,"Data Pipeline, Storage",Macrocosmos,Yes,"Crucible Labs, Guru (soon Tao.com)",,,13,25466160.0,2.55%,0.0505471129460115,0.7630069736252209,42608953742279.43,ν,842955240347540,0.0505471129460115,2.55,15637486.023416556,SN13,Data Universe
C tier,SN14 : TAOHash,"PoW hashrate, rental & exchange",,Latent Holdings,,,,,14,13679823.0,1.37%,0.0310123734870481,8.163871568326126,25896112659710.97,ξ,835025176983828,0.0310123734870481,1.37,9503873.346113926,SN14,TAOHash
B Tier,SN15 : De_Val ,LLM evaluation/ranking,AI powered tool,De_val,,,,,15,2084860.0,0.21%,0.0044164050139867,-9.48004487723819,3760235247081.539,ο,851424458393842,0.0044164050139867,0.21,1380006.3356789248,SN15,De_Val
B Tier,SN16 : BitAds,Online marketing & advertising,AI powered tool,BitAds,Yes,,,,16,1884857.0,0.19%,0.0038755493696573,3.9674678195783506,3280530127943.859,π,846468413904870,0.0038755493696573,0.19,1203954.5569553962,SN16,BitAds
S Tier,SN17 : Three Gen,Text-to-3D model,Generative AI,404,Yes,,,,17,19335527.0,1.94%,0.0381811666725429,-1.0254680922168045,32060855599826.926,ρ,839703403376688,0.0381811666725429,1.94,11766334.00513648,SN17,Three Gen
C tier,SN18 : Zeus,Climate forecasting,Predictive systems,Orpheus AI,Yes,,,Tier C because they just went live on mainnet,18,4794909.0,0.48%,0.0107087257939444,12.094562009719656,8221278446792.591,σ,767717710303266,0.0107087257939444,0.48,3017209.1899728808,SN18,Zeus
S Tier,SN19 : Nineteen,Inference optimization,Generative AI,Rayon Labs,Yes,"Crucible Labs, Guru (soon Tao.com), OpenTensor, Yuma",,,19,42569088.0,4.26%,0.0834399860691277,-3.2278049959317228,68459204083180.05,t,820460396846944,0.0834399860691277,4.26,25124527.898527075,SN19,Nineteen
B Tier,SN20 : BitAgent,Agent for personal assistance,AI Agent,Team Rizzo,,,,,20,5688221.0,0.57%,0.0113713306268103,-4.626122631103525,9001909995148.537,υ,791632069330971,0.0113713306268103,0.57,3303700.968219513,SN20,BitAgent
A Tier,SN21: Omega Any-to-Any,Multimodal models,Model development,Omega Labs,Yes,Guru (soon Tao.com),,,21,2187118.0,0.22%,0.0042435370745423,-1.584132270311339,3532760425851.532,φ,832503725970747,0.0042435370745423,0.22,1296523.0762875122,SN21,Omega Any-to-Any
B Tier,SN22 : Desearch ,Smart-scraping,AI powered tool,Datura,,,,,22,3962992.0,0.40%,0.0095700267906075,29.36387215589924,8036310971593.103,χ,839737562645101,0.0095700267906075,0.4,2949326.126574668,SN22,Desearch
B Tier,SN23 : Nuance,Nuancing of speech,AI powered tool,Zuvu AI,,,,,23,2069813.0,0.21%,0.0041153221989757,-2.711440870379596,3364024359140.3506,ψ,817438877562877,0.0041153221989757,0.21,1234596.9398045088,SN23,Nuance
A Tier,SN24 : Omega Labs,Multimodal datasets,Data Pipeline,Omega Labs,,Guru (soon Tao.com),,,24,1857519.0,0.19%,0.003537608129094,-5.032621619961449,3002528431743.28,ω,848745344926648,0.003537608129094,0.19,1101927.9344497838,SN24,Omega Labs
S Tier,SN25 : Protein Folding ,Protein folding,DeSci,Macrocosmos,,Guru (soon Tao.com),,,25,10447310.0,1.05%,0.0195282381161215,-6.381121215763936,16490584321410.451,א,844448138298594,0.0195282381161215,1.05,6052044.445957636,SN25,Protein Folding
C tier,SN26 : Storb,Storage,Storage,Storb,,,,"Tier C because their subnet isn’t up and running yet, and their X and website aren’t ready either.",26,2089580.0,0.21%,0.0038361239130397,-2.656843414644703,3193665426195.1133,ב,832524052557121,0.0038361239130397,0.21,1172075.2114136063,SN26,Storb
B Tier,SN27 : NI Compute,Compute marketplace,Compute,Neural Internet,,,,,27,1618780.0,0.16%,0.0033187824260513,-6.524395760686879,2823277916737.3584,ג,850696898529872,0.0033187824260513,0.16,1036142.9954426104,SN27,NI Compute
D tier,SN28 ,dTAO stress test ,,,,,,,28,1053834.0,0.11%,0.0023464518220185,65.94663463123801,1986287282312.4888,ד,846506739952492,0.0023464518220185,0.11,728967.4326086834,SN28,
B Tier,SN29 : Coldint ,Collaborative training,Decentralized Training,Coldint,,,,,29,1461311.0,0.15%,0.0028903778828531,-0.9520337113899622,2509567635291.948,ה,868248975395107,0.0028903778828531,0.15,921011.3221521446,SN29,Coldint
C tier,SN30 : Bettensor ,Sports prediction,Predictive systems,Nickel5,Soon,,,,30,3051788.0,0.31%,0.0060460214453494,-0.1327508961866144,5204943922109.024,ו,860887439642255,0.0060460214453494,0.31,1910214.4194140115,SN30,Bettensor
D tier,SN31 : NullUntilBoot,,,,,,,,31,1115590.0,0.11%,0.0022067793613159,5.000300477817192,1873594085179.1216,ז,849017404287239,0.0022067793613159,0.11,687609.0292607376,SN31,NullUntilBoot
B Tier,SN32 : It’s AI ,LLM generated content detection,Deepfake detection,It's AI,Yes,,,,32,2415475.0,0.24%,0.0047809843350917,-0.5358597066134538,4003218616446.93,ח,837321006693931,0.0047809843350917,0.24,1469181.2322360233,SN32,It’s AI
A Tier,SN33 : ReadyAI ,Data structuring,Data Pipeline,Afterparty,Yes,,,,33,8457162.0,0.85%,0.0167237490607123,1.72235161500493,14189393733850.98,ט,848457704210886,0.0167237490607123,0.85,5207507.50032331,SN33,ReadyAI
S Tier,SN34 : BitMind,Deepfake detection,Deepfake detection,BitMind,Yes,Yuma,,,34,22947919.0,2.30%,0.0451833302584209,-1.200060294318964,36451246471203.21,י,806741031763804,0.0451833302584209,2.3,13377607.45493158,SN34,BitMind
B Tier,SN35 : LogicNet,Mathematics model,Model development,AIT Protocol,Yes,,,,35,670046.0,0.07%,0.0013529943049668,1.0918471218719792,1154945396036.0918,ך,853621771944085,0.0013529943049668,0.07,423864.96034524566,SN35,LogicNet
B Tier,SN36 : Web Agents,Web Agents,AI Agent,Autoppia,,,,,36,1163865.0,0.12%,0.0032605518777954,55.68652409599682,2605483306615.1265,כ,799092731619644,0.0032605518777954,0.12,956212.3735277514,SN36,Web Agents
S Tier,SN37 : Fine-tuning ,LLM fine-tuning,"Decentralized Training, Model development",Macrocosmos,,,,,37,3412192.0,0.34%,0.0067119653339655,1.601457612725679,5649764503828.025,ל,841745185309238,0.0067119653339655,0.34,2073463.5729048853,SN37,Fine-tuning
B Tier,SN38 : Distributed training,Distributed training,Decentralized Training,,,,,"Tier B because they have no online presence yet, and there’s still very little documentation.
quasi aucune info mais 11 contributeurs github + crucible emerging",38,3198031.0,0.32%,0.0076063088927791,40.76155651850224,6451502319676.236,ם,848177796960208,0.0076063088927791,0.32,2367701.3513211785,SN38,Distributed training
C tier,SN39 : EdgeMaxxing ,AI model optimization for consumer devices,Model development,Wombo,,,,,39,778717.0,0.08%,0.0017377272920073,11.90329842297987,1459361180841.8328,מ,839810243847883,0.0017377272920073,0.08,535585.5533689526,SN39,EdgeMaxxing
A Tier,SN40 : Chunking,Chunking & RAG,Data Pipeline,VectorChat,,,,,40,1704879.0,0.17%,0.0033364009749081,-1.6185603691234989,2824502174161.759,ן,846571558815569,0.0033364009749081,0.17,1036592.2979173656,SN40,Chunking
A Tier,SN41 : SportsTensor,Sports prediction model,"Model development, Predictive systems",SportsTensor,,,,,41,6145370.0,0.62%,0.013156189555177,7.9854591388084515,11045781153167.055,נ,839588173067973,0.013156189555177,0.62,4053801.6832123087,SN41,SportsTensor
A Tier,SN42 : Masa,Data-Scraping,Data Pipeline,Masa,,"Yuma, Yuma portfolio",https://dexscreener.com/ethereum/0x541d846ddfa1efc15ca612bd76e2b595056edc8c,,42,7257498.0,0.73%,0.0146412776644912,1.3426903378497856,11947491848277.488,ס,816014293428307,0.0146412776644912,0.73,4384729.508317838,SN42,Masa
B Tier,SN43 Graphite,Graph optimization,DeSci,Graphite,,,,,43,8947115.0,0.90%,0.0177744058940239,-0.3542070645852664,15133029650666.191,ע,851394400515753,0.0177744058940239,0.9,5553821.881794493,SN43 Graphite,
S Tier,SN44 : Score Vision,Computer vision for football,Predictive systems,Score,,"Yuma, Yuma portfolio",,,44,17741642.0,1.78%,0.0329666041682055,-8.429515040457128,27398936132528.37,ף,831111872873856,0.0329666041682055,1.78,10055409.560637912,SN44,Score Vision
B Tier,SN45 : Gen42,Software engineering services,AI powered tool,Team Rizzo,,,,,45,5364165.0,0.54%,0.0105079687702801,-2.1538307432862487,8800771512027.084,פ,837533086025001,0.0105079687702801,0.54,3229883.14491394,SN45,Gen42
B Tier,SN46 : NeuralAI ,3D assets generation,Generative AI,NeuralAI,Yes,,https://dexscreener.com/ethereum/0x1112956589a2bea1b038732db4ea6b0c416ef130,,46,1513030.0,0.15%,0.0030399521726356,1.6128508462901308,2563897515951.6636,ץ,843400609730226,0.0030399521726356,0.15,940950.3883542604,SN46,NeuralAI
A Tier,SN47 : Condenses AI,Token compression to reduce LLM inference costs,Model development,Condenses AI,,,,,47,809554.0,0.08%,0.0015778131341221,-3.393995172924936,1310256260537.7036,צ,830425499827459,0.0015778131341221,0.08,480864.0476173372,SN47,Condenses AI
B Tier,SN48 : NextPlace AI,Property price prediction,Predictive systems,Nickel5,Yes,,,,48,3094793.0,0.31%,0.0061775817226138,-1.3979227182044047,5077178588911.1,ק,821871537583295,0.0061775817226138,0.31,1863324.542130374,SN48,NextPlace AI
C tier,SN49 : Polaris,GPU compute marketplace,Compute,Polaris,,,,,49,948944.0,0.10%,0.0019992780813355,8.915381944549189,1708457364989.5305,ר,854537135648620,0.0019992780813355,0.1,627003.8529511576,SN49,Polaris
A Tier,SN50 : Synth,Synthetic data for price forecasting,"Data Pipeline, Predictive systems",Mode,,,,,50,2134280.0,0.21%,0.0044460537852762,6.256140681004121,3749724796658.496,ש,843382688953568,0.0044460537852762,0.21,1376149.000373668,SN50,Synth
S Tier,SN51 : Celium ,Peer-to-peer GPU marketplace,Compute,Datura,Yes,"Crucible Labs, OpenTensor",,,51,56145665.0,5.62%,0.1173675048891287,7.598478658478442,99878744526835.08,ת,850991461573504,0.1173675048891287,5.62,36655499.24134848,SN51,Celium
A Tier,SN52 : Dojo,Human-generated datasets crowdsoursing,Data Pipeline,Tensorplex Labs,Soon,,,,52,18858412.0,1.89%,0.0366340656398732,-2.963879709667962,29632906764789.703,ا,808889383343154,0.0366340656398732,1.89,10875276.78267782,SN52,Dojo
B Tier,SN53 : EfficientFrontier,Crypto trading strategies,DeFi,SignalPlus,,OpenTensor,,,53,8633613.0,0.86%,0.0170171089079855,-0.6821394501109953,14545638379777.057,ب,854765545571099,0.0170171089079855,0.86,5338249.28537818,SN53,EfficientFrontier
B Tier,SN54 : WebGenieAI,Text-to-code / Image-to-code,AI powered tool,WebGenieAI,,,,,54,585220.0,0.06%,0.0012562715640709,12.098139473567404,1064445671452.386,ت,847305393113469,0.0012562715640709,0.06,390651.5614230257,SN54,WebGenieAI
B Tier,SN55 : Precog,Bitcoin price forecasting,Predictive systems,CoinMetrics.io,,Yuma portfolio,,,55,3204178.0,0.32%,0.006257042813259,-11.85631375688766,4872503395993.591,ث,778723039207663,0.006257042813259,0.32,1788208.746329648,SN55,Precog
S Tier,SN56 : Gradients,On-demand fine-tuning,Model development,Rayon Labs,Soon,,,,56,79120210.0,7.92%,0.157550369298291,-2.02392648548192,131635665939906.08,ج,835514804098488,0.157550369298291,7.92,48310289.39994553,SN56,Gradients
B Tier,SN57 : Gaia ,Geospatial forecasting,Predictive systems,Nickel5,,,,,57,3303296.0,0.33%,0.0062596403310643,-8.594576176556775,5260142001741.492,ح,840326556086181,0.0062596403310643,0.33,1930472.114639128,SN57,Gaia
A Tier,SN58 : Dippy Speech,Speech model,Model development,Dippy,Yes,Yuma portfolio,,,58,1270296.0,0.13%,0.0025019936645458,-1.3222027273883248,2132673519558.3245,خ,852389656208587,0.0025019936645458,0.13,782691.1816779051,SN58,Dippy Speech
A Tier,SN59 : Agent Arena ,AI agent competition,AI Agent,Masa,,,https://dexscreener.com/ethereum/0x541d846ddfa1efc15ca612bd76e2b595056edc8c,,59,1354833.0,0.14%,0.0026995885085603,0.6582258274334849,2252083032372.991,د,834231967291179,0.0026995885085603,0.14,826514.4728808877,SN59,Agent Arena
B Tier,SN60 : Bitsec,Code vulnerability detection,AI powered tool,Bitsec,,Yuma portfolio,,,60,2481156.0,0.25%,0.0049323701942941,-0.6370648567104935,4038243766976.8096,ذ,818722765709735,0.0049323701942942,0.25,1482035.4624804894,SN60,Bitsec
B Tier,SN61 : RedTeam,Cybersecurity,AI powered tool,RedTeam,,Yuma portfolio,,,61,2447149.0,0.25%,0.0055376882908268,18.605175265963464,4580228006961.29,ر,827101087388471,0.0055376882908268,0.25,1680943.6785547934,SN61,RedTeam
C tier,SN62 : AgenTao,SWE agents,AI Agent,AgenTao,,,,,62,626519.0,0.06%,0.0012544120691229,3.2951994679348746,1059987469015.2194,ز,845007390399523,0.0012544120691229,0.06,389015.4011285855,SN62,AgenTao
C tier,SN63 : Alpha Trade Exchange,Cross-subnets liquidity,"DeFi, Infrastructure",Nickel5,,,,,63,1090407.0,0.11%,0.0021409705440399,3.2457371742320507,1805269808716.4888,س,843201609542009,0.0021409705440399,0.11,662534.0197989513,SN63,Alpha Trade Exchange
S Tier,SN64 : Chutes ,General purpose compute,"Compute, Generative AI",Rayon Labs,,Guru (soon Tao.com),,,64,163087214.0,16.33%,0.326178507930331,-0.1637793689787789,276227512223911.44,ش,846859941743652,0.326178507930331,16.33,101375496.9861755,SN64,Chutes
C tier,SN65 : Tao Private Network (TPN),VPN,Infrastructure,,,,,,65,2753930.0,0.28%,0.0056400029739086,-0.7642435329723625,4119118182092.5337,ص,730339718107970,0.0056400029739086,0.28,1511716.3728279597,SN65,Tao Private Network (TPN)
C tier,SN66 : FakeNews,Fake news detection,Deepfake detection,,,,,,66,830528.0,0.08%,0.0016724880566006,-0.4756291341178695,1241072539319.3003,ض,742051660351958,0.0016724880566006,0.08,455473.6219301832,SN66,FakeNews
D tier,SN67 : Unknown,,,,,,,,67,0.0,0.00%,0.0010039592771122,-27.66857624112392,770076247022.5712,ط,767039325775812,0.0010039592771122,0.0,282617.98265728366,SN67,Unknown
A Tier,SN68 : Nova,Drug discovery,DeSci,Metanova Labs,,,,,68,33664778.0,3.37%,0.0707447167257514,8.23679086366081,51377549999015.625,ظ,726238684341412,0.0707447167257514,3.37,18855560.84963873,SN68,Nova
D tier,SN69 : Unknown,,,,,,,,69,589417.0,0.06%,0.0012272251759902,6.3710519233716525,911043229312.446,ع,742360283293044,0.0012272251759902,0.06,334352.8651576677,SN69,Unknown
B Tier,SN70 : Vericore,Fact-checking,AI powered tool,dFusion,,Yuma portfolio,,,70,1247911.0,0.12%,0.0025584231593882,4.523002677588249,1745679981288.4,غ,682326524008569,0.0025584231593882,0.12,640664.5531328428,SN70,Vericore
D tier,SN71 : Unknown,,,,,,,,71,0.0,0.00%,0.0011360816507928,5.923975661434982,746662004396.1914,ف,657225652641351,0.0011360816507928,0.0,274024.9556134023,SN71,Unknown
D tier,SN72 : Unknown,,,,,,,,72,2822389.0,0.28%,0.0055799336633244,-0.8525193158096861,3401703992535.589,ق,609631618901524,0.0055799336633244,0.28,1248425.3652605612,SN72,Unknown
D tier,SN73 : Deeznuts,,,,,,,,73,1092287.0,0.11%,0.0025136874935546,23.498249288170385,1170423523030.6785,ك,465620140145414,0.0025136874935546,0.11,429545.43295225897,SN73,Deeznuts
D tier,SN74 : Unknown,,,,,,,,74,554237.0,0.06%,0.0012395610410399,15.881250266680157,660074253608.5074,ل,532506453296357,0.0012395610410399,0.06,242247.25107432224,SN74,Unknown
A Tier,SN75 : Hippius,Storage,Storage,Hippius,Yes,,,Endorsed by @mogmachine,75,24296693.0,2.43%,0.0454010773746722,-7.290966358470803,22269232951392.58,م,490500099097116,0.0454010773746722,2.43,8172808.493161077,SN75,Hippius
B Tier,SN76 : Safescan,Cancer detection,DeSci,Safescan,,,,,76,3560914.0,0.36%,0.0066472697218609,-3.736329912839917,3361233296850.9023,ن,505656222403126,0.0066472697218609,0.36,1233572.6199442812,SN76,Safescan
D tier,SN77 : Unknown,,,,,,,,77,2978840.0,0.30%,0.0055838750167854,-6.887594459856345,2554191614769.201,ه,457422776672324,0.0055838750167854,0.3,937388.3226202969,SN77,Unknown
D tier,SN78 : Unknown,,,,,,,,78,528959.0,0.05%,0.0010979956020308,-9.589046570752393,505578960689.2706,و,460456271185580,0.0010979956020308,0.05,185547.4785729624,SN78,Unknown
D tier,SN79 : Taos,,,,,,,,79,2932515.0,0.29%,0.0061123295132837,-2.015365749730744,2382058629153.847,ي,389713712910433,0.0061123295132837,0.29,874215.5168994619,SN79,Taos
C tier,SN80: AI Factory,Specialized models,Model development,AI Factory,,,,,80,2549071.0,0.26%,0.006069651148988,11.059757759019844,2204835572355.041,ى,363255732205076,0.006069651148988,0.26,809174.6550543001,SN80,AI Factory
B Tier,SN81 : Patrol,Security analysis,"Infrastructure, Security",Tensora,,,,,81,20308891.0,2.03%,0.0417367421392459,11.016989054847604,13130368880453.924,ي,314599755693609,0.0417367421392459,2.03,4818845.379126591,SN81,Patrol
D tier,SN82 : Unknown,,,,,,,,82,551727.0,0.06%,0.0011737599249184,-11.75145599238854,386899146280.111,ᚠ,329623748490993,0.0011737599249184,0.06,141991.98668480074,SN82,Unknown
D tier,SN83 : Unknown,,,,,,,,83,0.0,0.00%,8.551709833787244,38.10973929649934,8551709833.787245,ᚢ,1000000000,8.551709833787244,0.0,3138.477508999919,SN83,Unknown
C tier,SN84 : Document Understanding,Document processing & understanding,AI powered tool,Tatsu,Soon,,https://dexscreener.com/ethereum/0xbaafed32ec23b8e206820181318c0750cd194a5c,,84,3783493.0,0.38%,0.0070794345928804,-7.255441065922501,748461114343.7529,ᚦ,105723289695544,0.0070794345928804,0.38,274685.22896415734,SN84,Document Understanding
B Tier,SN85 : Vidaio,Video processing,AI powered tool,Vidaio,,,,,85,15031876.0,1.51%,0.0500796196736953,48.253780269367006,3140000363007.117,ᚨ,62700163928290,0.0500796196736953,1.51,1152380.133223612,SN85,Vidaio
D tier,SN86 : Unknown,,,,,,,,86,0.0,0.00%,1600.5650987245037,-61.21649822973611,215047955662.6144,ᚱ,134357519,1600.565098724504,0.0,78922.5997281795,SN86,Unknown
C tier,SN87 : CheckerChain,Product review & scoring,"AI powered tool, Predictive systems",CheckerChain,,,,,87,898742.0,0.09%,0.0017735396166111,-7.20537805616567,102602008801.42804,ᚳ,57851546049744,0.0017735396166111,0.09,37654.937230124095,SN87,CheckerChain
C tier,SN88 : Staking,Staking strategies,AI powered tool,StakingAlpha,,,,,88,1710994.0,0.17%,0.0034537098722553,23.68577709093358,345062382299.799,ᛇ,99910645382169,0.0034537098722553,0.17,126637.89430402624,SN88,Staking
D tier,SN89 : Unknown,,,,,,,,89,0.0,0.00%,102.96276504501124,84.55627267811606,79125637543.19261,ᛉ,768487885,102.96276504501124,0.0,29039.108978351687,SN89,Unknown
D tier,SN90 : Unknown,,,,,,,,90,0.0,0.00%,518.5509850505985,20.18476181443796,304585145441.53986,ᛒ,587377431,518.5509850505983,0.0,111782.74837704512,SN90,Unknown
C tier,SN91 : Tensorprox,DDOS protection ,"Infrastructure, Security",Shugo.io,,,,,91,1752998.0,0.18%,0.0039404362791,-24.584722474004938,154993121848.6422,ᚁ,39334000316341,0.0039404362791,0.18,56882.475718451686,SN91,Tensorprox
D tier,SN92 : Unknown,,,,,,,,92,0.0,0.00%,0.0040393806657925,362.37109083969585,90665112522.22784,ᚂ,22445300412022,0.0040393806657925,0.0,33274.09629565762,SN92,Unknown
C tier,SN93 : Bitcast,Creator Marketing,AI powered tool,Bitcast,,,,,93,0.0,0.00%,41.387477432322335,194.0818775649204,41387477432.322334,ᚃ,1000000000,41.387477432322335,0.0,15189.204217662296,SN93,Bitcast
C tier,SN94 : Eastworld,AI agent evaluation & training,AI Agent,Eastworld AI,,,,,94,0.0,0.00%,78.4470215180417,117.8039080824794,64968577717.88149,ᚄ,828184123,78.44702151804171,0.0,23843.46802246251,SN94,Eastworld
D tier,SN95 : Unknown,,,,,,,,95,0.0,0.00%,14.52280030379991,167.4727678887836,14522800303.79991,ᚅ,1000000000,14.52280030379991,0.0,5329.867711494567,SN95,Unknown
