Tier,Subnet ,Description,Category,Company,App,Validation from,Native token,Notes,netuid,Emission,Emission_Percentage,Current_Price,Price_Change_24h,Market_Cap,Symbol,Circulating_Supply,Clean_Price,Clean_Emission,Clean_Market_Cap
B Tier,SN55 : Precog,Bitcoin price forecasting,Predictive systems,CoinMetrics.io,,Yuma portfolio,,,55,3204178.0,0.32%,0.00625704281325909803,-11.856313756887659753,4872503395993.5905940503372442,ث,778723039207663,0.006257042813259098,0.32,1788208.746329648
S Tier,SN56 : Gradients,On-demand fine-tuning,Model development,Rayon Labs,Soon,,,,56,79120210.0,7.92%,0.15755036929829103687,-2.02392648548191991,131635665939906.07397684491112,ج,835514804098488,0.15755036929829103,7.92,48310289.39994553
B Tier,SN57 : Gaia ,Geospatial forecasting,Predictive systems,Nickel5,,,,,57,3303296.0,0.33%,0.00625964033106438004,-8.594576176556775685,5260142001741.4923566598015762,ح,840326556086181,0.00625964033106438,0.33,1930472.1146391276
A Tier,SN58 : Dippy Speech,Speech model,Model development,Dippy,Yes,Yuma portfolio,,,58,1270296.0,0.13%,0.00250199366454587895,-1.322202727388324736,2132673519558.3245069147724525,خ,852389656208587,0.002501993664545879,0.13,782691.1816779051
A Tier,SN59 : Agent Arena ,AI agent competition,AI Agent,Masa,,,https://dexscreener.com/ethereum/0x541d846ddfa1efc15ca612bd76e2b595056edc8c,,59,1354833.0,0.14%,0.00269958850856038671,0.658225827433484971,2252083032372.9912256980634118,د,834231967291179,0.0026995885085603867,0.14,826514.4728808877
B Tier,SN60 : Bitsec,Code vulnerability detection,AI powered tool,Bitsec,,Yuma portfolio,,,60,2481156.0,0.25%,0.00493237019429419953,-0.637064856710493552,4038243766976.8100225106941534,ذ,818722765709735,0.0049323701942942,0.25,1482035.4624804894
B Tier,SN61 : RedTeam,Cybersecurity,AI powered tool,RedTeam,,Yuma portfolio,,,61,2447149.0,0.25%,0.00553768829082684881,18.605175265963462819,4580228006961.2900875614532541,ر,827101087388471,0.0055376882908268485,0.25,1680943.6785547934
C tier,SN62 : AgenTao,SWE agents,AI Agent,AgenTao,,,,,62,626519.0,0.06%,0.00125441206912291376,3.295199467934874584,1059987469015.2194186248802741,ز,845007390399523,0.0012544120691229137,0.06,389015.40112858545
C tier,SN63 : Alpha Trade Exchange,Cross-subnets liquidity,"DeFi, Infrastructure",Nickel5,,,,,63,1090407.0,0.11%,0.00214097054403991734,3.245737174232050944,1805269808716.4889649195316175,س,843201609542009,0.002140970544039917,0.11,662534.0197989513
S Tier,SN64 : Chutes ,General purpose compute,"Compute, Generative AI",Rayon Labs,,Guru (soon Tao.com),,,64,163087214.0,16.33%,0.32617850793033102296,-0.163779368978778943,276227512223911.46199378177125,ش,846859941743652,0.32617850793033104,16.33,101375496.9861755
C tier,SN65 : Tao Private Network (TPN),VPN,Infrastructure,,,,,,65,2753930.0,0.28%,0.0056400029739086196,-0.764243532972362562,4119118182092.5337175261864582,ص,730339718107970,0.005640002973908619,0.28,1511716.3728279597
C tier,SN66 : FakeNews,Fake news detection,Deepfake detection,,,,,,66,830528.0,0.08%,0.00167248805660060737,-0.475629134117869505,1241072539319.3002073417707687,ض,742051660351958,0.0016724880566006074,0.08,455473.62193018314
D tier,SN67 : Unknown,,,,,,,,67,0.0,0.00%,0.00100395927711227526,-27.668576241123919975,770076247022.57121933962799401,ط,767039325775812,0.0010039592771122752,0.0,282617.98265728366
A Tier,SN68 : Nova,Drug discovery,DeSci,Metanova Labs,,,,,68,33664778.0,3.37%,0.07074471672575146448,8.236790863660809082,51377549999015.627701800203311,ظ,726238684341412,0.07074471672575146,3.37,18855560.849638734
D tier,SN69 : Unknown,,,,,,,,69,589417.0,0.06%,0.00122722517599020741,6.371051923371652634,911043229312.4461525891713703,ع,742360283293044,0.0012272251759902074,0.06,334352.8651576677
B Tier,SN70 : Vericore,Fact-checking,AI powered tool,dFusion,,Yuma portfolio,,,70,1247911.0,0.12%,0.00255842315938824173,4.523002677588248961,1745679981288.4000741554443634,غ,682326524008569,0.0025584231593882415,0.12,640664.5531328428
D tier,SN71 : Unknown,,,,,,,,71,0.0,0.00%,0.00113608165079284576,5.923975661434981978,746662004396.19147436907794102,ف,657225652641351,0.0011360816507928458,0.0,274024.9556134023
D tier,SN72 : Unknown,,,,,,,,72,2822389.0,0.28%,0.0055799336633244389,-0.852519315809686101,3401703992535.5890614440416549,ق,609631618901524,0.005579933663324439,0.28,1248425.3652605612
D tier,SN73 : Deeznuts,,,,,,,,73,1092287.0,0.11%,0.00251368749355462365,23.498249288170382264,1170423523030.6783147480630434,ك,465620140145414,0.0025136874935546235,0.11,429545.43295225897
D tier,SN74 : Unknown,,,,,,,,74,554237.0,0.06%,0.00123956104103991936,15.881250266680157343,660074253608.50748123909746177,ل,532506453296357,0.0012395610410399194,0.06,242247.25107432224
A Tier,SN75 : Hippius,Storage,Storage,Hippius,Yes,,,Endorsed by @mogmachine,75,24296693.0,2.43%,0.04540107737467227199,-7.290966358470802829,22269232951392.580533968599376,م,490500099097116,0.04540107737467227,2.43,8172808.493161077
B Tier,SN76 : Safescan,Cancer detection,DeSci,Safescan,,,,,76,3560914.0,0.36%,0.00664726972186098212,-3.736329912839916803,3361233296850.9022819036809181,ن,505656222403126,0.006647269721860982,0.36,1233572.6199442812
D tier,SN77 : Unknown,,,,,,,,77,2978840.0,0.30%,0.00558387501678540858,-6.88759445985634491,2554191614769.2013757430511181,ه,457422776672324,0.005583875016785408,0.3,937388.3226202969
D tier,SN78 : Unknown,,,,,,,,78,528959.0,0.05%,0.00109799560203080537,-9.58904657075239361,505578960689.27069162185213056,و,460456271185580,0.0010979956020308055,0.05,185547.47857296237
D tier,SN79 : Taos,,,,,,,,79,2932515.0,0.29%,0.00611232951328379396,-2.0153657497307434,2382058629153.8471493622839064,ي,389713712910433,0.006112329513283794,0.29,874215.5168994619
C tier,SN80: AI Factory,Specialized models,Model development,AI Factory,,,,,80,2549071.0,0.26%,0.0060696511489880667,11.059757759019844709,2204835572355.0410074032011666,ى,363255732205076,0.006069651148988066,0.26,809174.6550543001
B Tier,SN81 : Patrol,Security analysis,"Infrastructure, Security",Tensora,,,,,81,20308891.0,2.03%,0.04173674213924592892,11.016989054847604709,13130368880453.925101439644112,ي,314599755693609,0.04173674213924593,2.03,4818845.379126591
D tier,SN82 : Unknown,,,,,,,,82,551727.0,0.06%,0.00117375992491840461,-11.751455992388540782,386899146280.11102854414051468,ᚠ,329623748490993,0.0011737599249184046,0.06,141991.98668480074
D tier,SN83 : Unknown,,,,,,,,83,0.0,0.00%,8.55170983378724381727,38.109739296499340348,8551709833.78724381727,ᚢ,1000000000,8.551709833787244,0.0,3138.477508999919
C tier,SN84 : Document Understanding,Document processing & understanding,AI powered tool,Tatsu,Soon,,https://dexscreener.com/ethereum/0xbaafed32ec23b8e206820181318c0750cd194a5c,,84,3783493.0,0.38%,0.0070794345928804275,-7.255441065922501446,748461114343.75303349647156506,ᚦ,105723289695544,0.007079434592880428,0.38,274685.22896415734
B Tier,SN85 : Vidaio,Video processing,AI powered tool,Vidaio,,,,,85,15031876.0,1.51%,0.05007961967369538322,48.253780269367009239,3140000363007.1174871361521493,ᚨ,62700163928290,0.05007961967369538,1.51,1152380.133223612
D tier,SN86 : Unknown,,,,,,,,86,0.0,0.00%,1600.56509872450386052722,-61.216498229736113734,215047955662.61440320635931117,ᚱ,134357519,1600.565098724504,0.0,78922.5997281795
C tier,SN87 : CheckerChain,Product review & scoring,"AI powered tool, Predictive systems",CheckerChain,,,,,87,898742.0,0.09%,0.00177353961661119799,-7.205378056165669697,102602008801.42803932229997281,ᚳ,57851546049744,0.001773539616611198,0.09,37654.937230124095
C tier,SN88 : Staking,Staking strategies,AI powered tool,StakingAlpha,,,,,88,1710994.0,0.17%,0.00345370987225533575,23.685777090933581578,345062382299.79904764400815824,ᛇ,99910645382169,0.003453709872255336,0.17,126637.89430402624
D tier,SN89 : Unknown,,,,,,,,89,0.0,0.00%,102.96276504501123800867,84.556272678116071721,79125637543.192616098514419963,ᛉ,768487885,102.96276504501124,0.0,29039.108978351687
D tier,SN90 : Unknown,,,,,,,,90,0.0,0.00%,518.55098505059836665518,20.184761814437957032,304585145441.53987361871569124,ᛒ,587377431,518.5509850505983,0.0,111782.74837704512
C tier,SN91 : Tensorprox,DDOS protection ,"Infrastructure, Security",Shugo.io,,,,,91,1752998.0,0.18%,0.00394043627910003152,-24.584722474004938239,154993121848.64219277446307107,ᚁ,39334000316341,0.003940436279100032,0.18,56882.475718451686
D tier,SN92 : Unknown,,,,,,,,92,0.0,0.00%,0.00403938066579257765,362.371090839695811149,90665112522.22784380873442851,ᚂ,22445300412022,0.004039380665792578,0.0,33274.09629565762
C tier,SN93 : Bitcast,Creator Marketing,AI powered tool,Bitcast,,,,,93,0.0,0.00%,41.38747743232233502693,194.081877564920399828,41387477432.32233502693,ᚃ,1000000000,41.387477432322335,0.0,15189.204217662296
C tier,SN94 : Eastworld,AI agent evaluation & training,AI Agent,Eastworld AI,,,,,94,0.0,0.00%,78.44702151804170264955,117.80390808247939838,64968577717.881496186244343095,ᚄ,828184123,78.44702151804171,0.0,23843.46802246251
D tier,SN95 : Unknown,,,,,,,,95,0.0,0.00%,14.52280030379991044384,167.472767888783623307,14522800303.79991044384,ᚅ,1000000000,14.52280030379991,0.0,5329.867711494567
